Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,Zahodit klíčky,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,Tento zámek nemůže být vypáčen.,
JWK-Action-CleanUp,Clean up,Uklidit,
JWK-Action-CollectDogtag,Collect dogtag,Sebrat identifikační známky,
JWK-Action-Disassembly,Disassemble,Demontáž,
JWK-Action-DismantleCamp,Dismantle camp,Zbourat tábor,
JWK-Action-EditSign,Edit sign,Upravit značku,
JWK-Action-EpinephrineInject,Inject epinephrine,Podat adrenalin,
JWK-Action-FollowMe,Ask to follow,Následuj mě,
JWK-Action-Lock,Lock,Uzamknout,
JWK-Action-LockVehicle,Lock vehicle,Uzamknout vozidlo,
JWK-Action-Locked,Locked,Uzamčeno,
JWK-Action-ManagePlayerGarage,Manage garage,Správa garáže,
JWK-Action-PickLock,Pick lock,Vypáčit zámek,
JWK-Action-PickUp,Pick up,Zvednout,
JWK-Action-PlayerRest,Rest,Odpočinek,
JWK-Action-Recruit,Recruit,Nábor,
JWK-Action-RequiresLockpick,Requires lockpick.,Vyžaduje paklíč,
JWK-Action-Shop,Shop,Obchod,
JWK-Action-StayHere,Ask to stay,Zůstaň zde,
JWK-Action-StopCharacter,Stop,Zastavte,
JWK-Action-TakeBus,Take bus,Jet autobusem,
JWK-Action-TakeCommand,Take command,Převezmout velení,
JWK-Action-TakeFerry,Take ferry,Nastoupit na trajekt,
JWK-Action-TakeKeys,Take keys,Vzít klíčky,
JWK-Action-Talk,Talk,Mluvit,
JWK-Action-Trade,Trade,Obchodovat,
JWK-Action-Unlock,Unlock,Odemknout,
JWK-Action-UnlockVehicle,Unlock vehicle,Odemknout vozidlo,
JWK-Action-UsePhone,Use phone,Použít telefon,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,Nejprve je třeba rozebrat jiné konstrukce.,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Nedostatek peněz.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Dosažení velitelského limitu.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Odstranit blízká těla,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Odstranit okolní předměty,
JWK-AdminUI-ForceSaveGame,Force save game,Vynucené uložení hry,
JWK-AdminUI-OpenSettings,Open settings,Otevřít nastavení,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Obnovit zničení (globálně),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Obnovit zničení (v okolí),
JWK-AdminUI-Title,Admin menu,Nabídka správce,
JWK-AdminUI-WipeSaveData,Wipe save data,Vymazání uložené pozice,
JWK-Arland-Airport,Airport,Letiště,
JWK-Arland-NewfieldFarm,Newfield Farm,Farma Newfield,
JWK-BankUI-Amount,Amount,Částka,
JWK-BankUI-MoneyTransfer,Money transfer,Převod peněz,
JWK-BankUI-Perform,Perform,Provést,
JWK-BankUI-Recipient,Receiver,Příjemce,
JWK-BankUI-YourMoney,Your money,Vaše peníze,
JWK-BattleFallbackTitle,Battle,Bitva,
JWK-BattlePlayerLosing,Resistance is losing control...,Odpor ztrácí kontrolu...,
JWK-BattleProgress,Battle in progress...,Probíhající bitva...,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.","Byly zjištěny uložené herní data, která nejsou kompatibilní s touto verzí módu. Pokračovat můžete pouze vytvořením nové kampaně nebo vrácením aktualizace.<br/><br/>Použijte možnost „<b>Restart</b>“ v pauzovacím menu nebo „<b>Vymazat uložená data</b>“ v administrátorském menu pro restartování hry.",
JWK-BuildItem-ArmoryFOB,Field armory,Polní zbrojnice,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Nákup zbraní a munice.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Umožňuje přístup ke zbraním a munici patřící odboji. Předměty se nakupují ze zásob.,
JWK-BuildItem-ArmoryMOB,Allied armory,Spojenecká zbrojnice,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Nákup zbraní a munice.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Umožňuje přístup ke zbraním a munici poskytovaným spojeneckou frakcí. Předměty se nakupují za zásoby.,
JWK-BuildItem-Bunker,Bunker,Bunkr,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Útulné místo pro vaše hlídky.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Umístěte ho na dobré pozorovací místo.,
JWK-BuildItem-CommandPost,Command post,Velitelské stanoviště,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Mít na místě důstojníka.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,"Získat přístup k důstojníkovi odbojové skupiny, který je přítomen na místě.",
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Obchod s vybavením,
