Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,Dogtag sammeln,
JWK-Action-Disassembly,Disassemble,Zerlegt,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,Schild bearbeiten,
JWK-Action-EpinephrineInject,Inject epinephrine,Epinephrin injizieren,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-Lock,Lock,Sperren,
JWK-Action-LockVehicle,Lock vehicle,Fahrzeug sperren,
JWK-Action-Locked,Locked,Verschlossen,
JWK-Action-ManagePlayerGarage,Manage garage,Garage verwalten,
JWK-Action-PickLock,Pick lock,das Schloss knacken,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,Ausruhen,
JWK-Action-Recruit,Recruit,Rekrutieren,
JWK-Action-RequiresLockpick,Requires lockpick.,Benötigt Dietrich.,
JWK-Action-Shop,Shop,Geschäft,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,Stoppen,
JWK-Action-TakeBus,Take bus,Bus nehmen,
JWK-Action-TakeCommand,Take command,Befehl nehmen,
JWK-Action-TakeFerry,Take ferry,Fähre nehmen,
JWK-Action-TakeKeys,Take keys,,
JWK-Action-Talk,Talk,Sprechen,
JWK-Action-Trade,Trade,Handel,
JWK-Action-Unlock,Unlock,Entsperren,
JWK-Action-UnlockVehicle,Unlock vehicle,Fahrzeug freischalten,
JWK-Action-UsePhone,Use phone,Telefon verwenden,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Nicht genug Geld.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Befehlsgrenze erreicht.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Klar in der Nähe von Körpern,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Gegenstände in der Nähe löschen,
JWK-AdminUI-ForceSaveGame,Force save game,Force Save Game,
JWK-AdminUI-OpenSettings,Open settings,Einstellungen geöffnet,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Zerstörung zurücksetzen (global),
