Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,ドッグタグを集める,
JWK-Action-Disassembly,Disassemble,分解,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,編集記号,
JWK-Action-EpinephrineInject,Inject epinephrine,エピネフリンを注射する,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-Lock,Lock,ロック,
JWK-Action-LockVehicle,Lock vehicle,ロック車,
JWK-Action-Locked,Locked,ロック,
JWK-Action-ManagePlayerGarage,Manage garage,ガレージ管理,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,休憩,
JWK-Action-Recruit,Recruit,リクルート,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,ショップ,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,ストップ,
JWK-Action-TakeBus,Take bus,バスに乗る,
JWK-Action-TakeCommand,Take command,指揮を執る,
JWK-Action-TakeFerry,Take ferry,フェリーに乗る,
JWK-Action-TakeKeys,Take keys,,
JWK-Action-Talk,Talk,トーク,
JWK-Action-Trade,Trade,貿易,
JWK-Action-Unlock,Unlock,ロック解除,
JWK-Action-UnlockVehicle,Unlock vehicle,車両のロック解除,
JWK-Action-UsePhone,Use phone,電話を使う,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,,
JWK-ActionReason-NotEnoughMoney,Not enough money.,お金が足りない。,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,指揮官の限界に達した。,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,近くの遺体を片付ける,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,近くのアイテムを消去,
JWK-AdminUI-ForceSaveGame,Force save game,強制セーブゲーム,
JWK-AdminUI-OpenSettings,Open settings,オープン設定,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),,
JWK-AdminUI-Title,Admin menu,管理者メニュー,
JWK-AdminUI-WipeSaveData,Wipe save data,セーブデータの消去,
JWK-Arland-Airport,Airport,空港,
