Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,Zbierz nieśmiertelnik,
JWK-Action-Disassembly,Disassemble,Demontaż,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,Edytuj znak,
JWK-Action-EpinephrineInject,Inject epinephrine,Wstrzyknąć epinefrynę,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-Lock,Lock,Blokada,
JWK-Action-LockVehicle,Lock vehicle,Blokada pojazdu,
JWK-Action-Locked,Locked,Zablokowany,
JWK-Action-ManagePlayerGarage,Manage garage,Zarządzaj garażem,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,Odpoczynek,
JWK-Action-Recruit,Recruit,Rekrut,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,Sklep,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,Zatrzymywać się,
JWK-Action-TakeBus,Take bus,Wejdź autobusem,
JWK-Action-TakeCommand,Take command,Przejąć dowództwo,
JWK-Action-TakeFerry,Take ferry,Weź prom,
JWK-Action-TakeKeys,Take keys,,
JWK-Action-Talk,Talk,Rozmawiać,
JWK-Action-Trade,Trade,Handel,
JWK-Action-Unlock,Unlock,Odblokować,
JWK-Action-UnlockVehicle,Unlock vehicle,Odblokuj pojazd,
JWK-Action-UsePhone,Use phone,Użyj telefonu,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Za mało pieniędzy.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Osiągnięto limit dowodzenia.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Wyczyść pobliskie ciała,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Wyczyść pobliskie przedmioty,
JWK-AdminUI-ForceSaveGame,Force save game,Force Gra Save,
JWK-AdminUI-OpenSettings,Open settings,Otwórz ustawienia,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),,
