Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,Собрать жетон,
JWK-Action-Disassembly,Disassemble,Разобрать,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,Редактировать знак,
JWK-Action-EpinephrineInject,Inject epinephrine,Ввести эпинефрин,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-Lock,Lock,Заблокировать,
JWK-Action-LockVehicle,Lock vehicle,Заблокировать транспорт,
JWK-Action-Locked,Locked,Заблокировано,
JWK-Action-ManagePlayerGarage,Manage garage,Управлять гаражом,
JWK-Action-PickLock,Pick lock,Взломать замок,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,Отдохнуть,
JWK-Action-Recruit,Recruit,Вербовать,
JWK-Action-RequiresLockpick,Requires lockpick.,Требуется отмычка,
JWK-Action-Shop,Shop,Магазин,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,Остановить,
JWK-Action-TakeBus,Take bus,Сесть на автобус,
JWK-Action-TakeCommand,Take command,Принять командование,
JWK-Action-TakeFerry,Take ferry,Сесть на паром,
JWK-Action-TakeKeys,Take keys,,
JWK-Action-Talk,Talk,Поговорить,
JWK-Action-Trade,Trade,Торговать,
JWK-Action-Unlock,Unlock,Разблокировать,
JWK-Action-UnlockVehicle,Unlock vehicle,Разблокировать транспорт,
JWK-Action-UsePhone,Use phone,Позвонить,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Не хватает денег.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Достигнут лимит подчиненных.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Очистить близлежащие тела,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Очистить близлежащие предметы,
JWK-AdminUI-ForceSaveGame,Force save game,Принудительно сохранить игру,
JWK-AdminUI-OpenSettings,Open settings,Открыть настройки,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Откатить разрушения (глобально),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Откатить разрушения (ближайшие),
